main_theme,meta_theme
IDOSO,assistencia social
ASSITÊNCIA SOCIAL,assistencia social
CRIANÇA,assistencia social
DROGAS,assistencia social
MENOR,assistencia social
MULHER,assistencia social
PORTADORES DE NECESSIDADES ESPECIAIS,assistencia social
PREVIDÊNCIA MUNICIPAL,assistencia social
RACISMO,assistencia social
HABITAÇÃO,assistencia social
EMPREGO PRIVADO,assistencia social
AUDIÊNCIA PÚBLICA,administração
ALTERAÇÂO DE LEI,administração
DAR NOME A PRÓPRIO PÚBLICO,administração
DENOMINAÇÃO DE CRECHE,administração
DENOMINAÇÂO DE ESCOLA,administração
DENOMINAÇÃO DE RUA,administração
DIA MUNICIPAL,administração
FERIADOS,administração
CONGRATULAÇÕES,administração
VOTO DE APLAUSO,administração
SESSÃO ESPECIAL,administração
SESSÃO INTINERANTE,administração
MOÇÃO,administração
MEDALHA DE HONRA AO MÉRITO,administração
UTILIDADE PÚBLICA MUNICIPAL,administração
TÍTULO DE CIDADANIA,administração
EDUCAÇÂO,educação e cultura
CULTURA,educação e cultura
ESPORTES e LAZER,educação e cultura
DIVERSÂO,educação e cultura
INCLUSÃO DIGITAL,educação e cultura
CONSCIÊNCIA NEGRA,educação e cultura
DOAÇÂO DE IMÓVEIS  PÚBLICOS,gestão e finanças
EMPREGO PÚBLICO,gestão e finanças
TRIBUTOS MUNICIPAL,gestão e finanças
FINANÇAS PÚBLICAS,gestão e finanças
INCENTIVOS FISCAIS,gestão e finanças
IPTU,gestão e finanças
ISS,gestão e finanças
ORÇAMENTO PÚBLICO,gestão e finanças
FUNCIONALISMO,gestão e finanças
TRANSITO URBANO,mobilidade
TRANSITO URBANO ,mobilidade
TRANSPORTES URBANOS,mobilidade
ACESSIBILIDADE,mobilidade
MOTOTAXI,mobilidade
TAXI,mobilidade
SEGURANÇA PÚBLICA,segurança e meio ambiente
FISCALIZAÇÃO,segurança e meio ambiente
BOMBEIROS,segurança e meio ambiente
MEIO AMBIENTE,segurança e meio ambiente
TRANSPOSIÇÂO - SÃO FRANCISCO,segurança e meio ambiente
AGUAS e ESGOTO,segurança e meio ambiente
ANIMAIS,segurança e meio ambiente
COLETA DE LIXO,segurança e meio ambiente
SAUDE,saúde
AGRICULTURA,agricultura
OBRAS MUNICIPAL,obras e infraestrutura física
ELETRIFICAÇÂO,obras e infraestrutura física
SERVIÇOS URBANOS,obras e infraestrutura física
MERCADO PÚBLICO,obras e infraestrutura física
FEIRAS  LIVRES,obras e infraestrutura física
TELEFONIA FIXA,obras e infraestrutura física
TELEFONIA MÓVEL,obras e infraestrutura física
BANCOS,obras e infraestrutura física
OUTROS,outros
SEM ASSUNTO,outros
